Col_1,Col_2,Col_3,Condition,Exp_Fill,F_N,S_N
The advertisement,from the offices,,SP,Experimental,offices,X
The announcement,by the directors,,SP,Experimental,directors,X
The article,by the writers,,SP,Experimental,writers,X
The author,of the speechs,,SP,Experimental,speechs,X
The computer,with the programs,,SP,Experimental,programs,X
The contract,for the actors,,SP,Experimental,actors,X
The discussion,about the topics,,SP,Experimental,topics,X
The dog,on the paths,,SP,Experimental,paths,X
The friend,of the editors,,SP,Experimental,editors,X
The gift,for the daughters,,SP,Experimental,daughters,X
The helicopter,for the flights,,SP,Experimental,flights,X
The article,about the conference,of the government,SSS,Experimental,conference,government
The letter,from the friend,of my cousin,SSS,Experimental,friend,cousin
The manual,by the developer,of the machine,SSS,Experimental,developer,machine
The rope,on the dock,of the yacht,SSS,Experimental,dock,yacht
The meal,for the guest,of the inn-keeper,SSS,Experimental,guest,inn-keeper
The museum,with the picture,of the poet,SSS,Experimental,picture,poet
The design,for the engine,of the plane,SSS,Experimental,engine,plane
The payment,for the service,to the school,SSS,Experimental,service,school
The photo,of the girl,with the baby,SSS,Experimental,girl,baby
The post,of the platform,for the event,SSS,Experimental,platform,event
The prescription,by the doctors,from the clinic,SPS,Experimental,doctors,clinic
The producer,of the movies,about the artist,SPS,Experimental,movies,artist
The publisher,of the books,about the king,SPS,Experimental,books,king
The setting,for the movies,about the astronomer,SPS,Experimental,movies,astronomer
The statue,in the gardens,near the mansion,SPS,Experimental,gardens,mansion
The switch,for the lights,in the hall,SPS,Experimental,lights,hall
The telegram,to the friends,of the soldier,SPS,Experimental,friends,soldier
The threat,to the presidents,of the company,SPS,Experimental,presidents,company
The tour,of the museums,near the monument,SPS,Experimental,museums,monument
The train,to the cities,on the lake,SPS,Experimental,cities,lake
The truck,on the bridge,over the streams,SSP,Experimental,bridge,streams
The cat,of my neighbour,in the trees,SSP,Experimental,neighbour,trees
The bowl,with the fruit,on the tables,SSP,Experimental,fruit,tables
The letter,from our penpal,beside the books,SSP,Experimental,penpal,books
The lamp,with the tassle,over the plants,SSP,Experimental,tassle,plants
The book,about the warrior,of the rivers,SSP,Experimental,warrior,rivers
The host,of the podcast,for the studios,SSP,Experimental,podcast,studios
The lawyer,of my uncle,for the sisters,SSP,Experimental,uncle,sisters
The shoe,under the chair,of the guests,SSP,Experimental,chair,guests
The tomato,on the vine,under the clouds,SSP,Experimental,vine,clouds
The dog,of the farmers,in the fields,SPP,Experimental,farmers,fields
The shark,around the islands,with the monkeys,SPP,Experimental,islands,monkeys
The balcony,of the hotels,over the cars,SPP,Experimental,hotels,cars
The e-mail,by the members,to the executives,SPP,Experimental,members,executives
The recipe,of the bakers,with the fruits,SPP,Experimental,bakers,fruits
The cookie,in the bowls,for the grandkids,SPP,Experimental,bowls,grandkids
The book,in the libraries,about the teas,SPP,Experimental,libraries,teas
The toy,from the shelves,beside the posters,SPP,Experimental,shelves,posters
The tunnel,below the basements,of the towers,SPP,Experimental,basements,towers
The passenger,on the trains,through the countries,SPP,Experimental,trains,countries
The city,in the valley,wthere,SSA,Experimental,valley,X
The map,on the desk,there,SSA,Experimental,desk,X
The cat,with a bell,there,SSA,Experimental,bell,X
The start,of the race,there,SSA,Experimental,race,X
The conversation,about the student,there,SSA,Experimental,student,X
The hospital,in the building,there,SSA,Experimental,building,X
The spy,with the map,there,SSA,Experimental,map,X
The book,about the event,there,SSA,Experimental,event,X
The pillow,with the ruffle,there,SSA,Experimental,ruffle,X
The icing,on the cake,there,SSA,Experimental,cake,X
The stamp,in the corners,there,SPA,Experimental,corners,X
The blender,on the counters,there,SPA,Experimental,counters,X
The tea,in the tins,there,SPA,Experimental,tins,X
The castle,with the bridges,there,SPA,Experimental,bridges,X
The blueprint,on the tables,there,SPA,Experimental,tables,X
The strategy,for the invasions,there,SPA,Experimental,invasions,X
The attitude,toward the elections,there,SPA,Experimental,elections,X
The ticket,for the trips,there,SPA,Experimental,trips,X
The message,from the fans,there,SPA,Experimental,fans,X
The meaning,of the symbols,there,SPA,Experimental,symbols,X
The feeling,toward the recipient,,SS,Experimental,recipient,X
The attitude,of the senator,,SS,Experimental,senator,X
The mood,of the critic,,SS,Experimental,critic,X
The pattern,on the carpet,,SS,Experimental,carpet,X
The call,of the bird,,SS,Experimental,bird,X
The sound,of the jackhammer,,SS,Experimental,jackhammer,X
The sighting,of the fire,,SS,Experimental,fire,X
The smell,of the sandwich,,SS,Experimental,sandwich,X
The cure,for the disease,,SS,Experimental,disease,X
